"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RMER30_10_20935955",34.2424060642507,1.23227842656113,0.329248214559649,8.20967973304111e-06,0.00312677712607422
"G-rich_8_74079720",62.7440803428481,1.22689555089868,0.420728853373736,0.000136176944538223,0.016215745524508
"MLT1E1A_2_113656321",39.8820538190393,1.21041831955627,0.334297016695353,1.29244200998819e-05,0.00410154293596702
"(GCG)n_9_110074420",46.525224806737,1.19364018277946,0.559322979880926,0.000996457897446782,0.0434320321843934
"ORR1B1-int_11_77426816",19.0688762299462,1.18956901499252,0.38452666916485,8.41412067894304e-05,0.0127767970137671
"(GATGAA)n_X_150690271",44.6148047956398,1.18831118936108,0.302951412565855,4.05805123338036e-06,0.00204670712563562
"(GC)n_1_39616045",18.3622098496916,1.16986789431412,0.442557852971282,0.000325197914127313,0.0253609749533788
"PB1D10_10_13993274",25.1346579209464,1.16980718027157,0.318615975828059,1.17820088783506e-05,0.00378148930409245
"(CTCGGC)n_2_116951625",27.716121672686,1.16772806075244,0.574573051164413,0.00123235965141522,0.0495822877415549
"(CCCGCCG)n_1_59802830",18.6601649464141,1.16644109352555,0.436669769949438,0.000290213841652741,0.024253944976138
"(CGG)n_17_5046112",25.5222913911776,1.16262867661739,0.360019699378169,5.42197613273773e-05,0.0101671823041267
"(GGC)n_2_92231496",45.314754866968,1.15888220947079,0.449891992888008,0.000361403724700243,0.0266514015677119
"MTE2b_13_15953569",25.4000556851551,1.15285452248757,0.312397760884756,1.08367145358474e-05,0.00360101574278464
"G-rich_2_32103740",21.4525033050994,1.15244982374474,0.288560394488786,3.32341372863301e-06,0.00192530619160333
"B1_Mus1_5_115326258",14.5673383884832,1.14789886161029,0.503885572293697,0.000843483005276687,0.0399050820787852
"L1MD3_13_70758065",34.14445854037,1.13814626152453,0.296311238834989,5.96354317793861e-06,0.00263178614871403
"Lx2_1_52213816",19.0142170562718,1.13285947182527,0.392658198722004,0.000167671988559477,0.0182846627215207
"(CCCCGC)n_11_23256665",25.0820995784179,1.13039721927765,0.296429332129251,6.75453488748084e-06,0.00283509000304123
"(GCCCC)n_17_27167685",29.7039362147772,1.12288887728588,0.376985450786519,0.000123095600369945,0.0155906373849719
"(GCC)n_11_97253347",21.8348042369109,1.11857108547333,0.408729437952376,0.000241981667423633,0.0221524987345848
"ORR1E_12_102227515",28.5670647418157,1.11316583968059,0.301329375444201,1.05906416078666e-05,0.00360101574278464
"(CCAGGC)n_9_108003121",127.276613285087,1.11131043901579,0.323071823029943,2.65759865108893e-05,0.00647079450873756
"L1MdF_I_11_57197029",16.2643443636845,1.11074754345766,0.453864360977852,0.000537103995499607,0.0320718081371901
"(GAGAGAAA)n_18_61100615",17.6355723549557,1.10833916720668,0.390591485071624,0.000196463195077533,0.0195596493349567
"(CCT)n_5_14728145",40.60147135963,1.10797793835492,0.291322282625566,7.1031382553604e-06,0.00288743394073456
"G-rich_1_22845081",27.1649488588552,1.10056098677496,0.290376166955712,7.25845523977318e-06,0.00288743394073456
"(GCC)n_X_12627786",32.6291828118975,1.10033941568276,0.33223177734653,4.25196871506538e-05,0.00848781258846649
"(GCG)n_12_110568145",34.8622664638041,1.09948311227824,0.517248891671897,0.00105311339232728,0.0449307169983259
"PB1D7_11_102111671",15.4727070158716,1.09820784385211,0.414893843211909,0.000342248358237248,0.0259154494103293
